city,country,year,jams_delay,traffic_index_live,jams_length_kms,jams_count,mins_delay,travel_time_live_per_10kms_mins,travel_time_hist_per_10kms_mins,country_name,city_gdp_capita,unemployment_pct,pm25,population
belo-horizonte,BRA,2024,263.0478793178837,19.428946217752515,44.03812855268911,68.80542195015303,0.487227536003777,18.304538148547458,17.817310612543682,Brazil,11124.0,9.5,16.8,6100000.0
bogota,COL,2024,1141.552364273205,37.614273204903675,140.8935639229422,230.56654991243434,1.6996284237494024,24.99218531844916,23.292556894699757,Colombia,11442.0,10.0,17.6,11300000.0
brasilia,BRA,2024,101.57632617273126,11.258220078912757,18.33713283647523,27.28014028934678,0.19344215598773432,13.338658187159751,13.145216031172017,Brazil,16251.0,7.8,12.8,4800000.0
buenos-aires,ARG,2024,571.0895933537385,17.75601224311325,100.28784433756012,137.35986007870574,0.41656646170772643,17.907915659200043,17.491349197492312,Argentina,18117.0,7.2,14.5,15400000.0
curitiba,BRA,2024,183.4692744755245,14.954545454545455,30.050043706293707,46.89816433566433,0.13996459672844233,17.258700416746265,17.118735820017825,Brazil,12381.0,8.2,13.5,3700000.0
fortaleza,BRA,2024,82.81318101933216,15.896748681898067,11.205843585237258,24.64499121265378,0.08161774752033361,19.267171496002653,19.185553748482324,Brazil,8512.0,11.8,14.6,4200000.0
lima,PER,2024,1052.2927888792356,31.031277150304085,110.31476976542137,213.4535186794092,1.5063045103048753,25.674260588392634,24.167956078087762,Peru,13472.0,6.5,19.7,11200000.0
mexico-city,MEX,2024,2833.057892435505,34.21818976825536,389.23926541320503,594.969392216878,1.8555424236133549,21.80909246041577,19.953550036802415,Mexico,21111.0,3.2,22.3,22100000.0
montevideo,URY,2024,50.201092179991264,17.01485364788117,6.369200524246396,14.160332022717343,0.39344201363827574,18.892342279198196,18.49890026555992,Uruguay,26176.0,8.4,11.2,1800000.0
porto-alegre,BRA,2024,139.38282961016208,17.68725361366623,20.16784932106877,39.813403416557165,0.194194564685036,16.16668431929304,15.972489754608006,Brazil,11801.0,8.7,14.2,4300000.0
recife,BRA,2024,112.7555506993007,21.555944055944057,16.88548951048951,33.22115384615385,0.07253879036529919,20.10156890188667,20.029030111521372,Brazil,9189.0,11.2,15.8,4099999.9999999995
rio-de-janeiro,BRA,2024,466.06470588235294,25.16296296296296,85.01511982570807,123.89193899782136,0.361302257593205,17.137320045767062,16.776017788173856,Brazil,13349.0,9.2,18.4,13700000.0
salvador,BRA,2024,86.39999999999999,20.928727590730215,13.170441626585045,25.23524267599475,0.11581062763269724,16.83162034206379,16.715809714431092,Brazil,8899.0,12.4,15.2,3900000.0
santiago,CHL,2024,629.8653176675369,20.155352480417754,93.48912097476067,153.0953002610966,0.6274451728168519,17.03130951450783,16.403864341690976,Chile,2277.0,7.8,21.3,7100000.0
sao-paulo,BRA,2024,1729.1892701998263,26.877932232841008,238.4198957428323,431.4704604691573,1.1290256674451813,20.8018358290474,19.672810161602214,Brazil,14703.0,8.5,28.0,22600000.0
